time,number_reported
1,19
2,20
3,20
4,19
5,42
6,94
7,190
8,416
9,578
10,803
11,944
12,1225
13,1729
14,2297
15,3109
16,3685
17,4277
18,5120
19,5498
20,6107
21,6415
22,6875
23,7097
24,7178
25,7165
26,7362
27,7293
28,7198
29,7180
30,7253
31,7024
32,6838
33,6789
34,6527
35,6325
36,6085
37,5884
38,5684
39,5410
40,5281
41,4966
42,4665
43,4523
44,4398
45,4275
46,4216
47,4155
48,3979
49,3867
50,3654
51,3591
52,3500
53,3445
54,3408
55,3246
56,3125
57,3026
58,2930
59,2873
60,2808
61,2750
62,2627
63,2576
64,2484
65,2385
66,2324
67,2233
68,2179
69,2051
70,1967
71,1843
72,1769
73,1731
74,1654
75,1593
76,1459
77,1454
78,1407
79,1360
80,1332
81,1267
82,1218
83,1135
84,1082
85,1016
86,1008
87,1021
88,1008
89,1008
90,969
91,937
92,924
93,900
94,898
95,877
96,781
97,723
98,716
99,705
100,711
101,713
102,681
103,701
104,735
105,770
106,774
107,793
108,810
109,823
110,850
111,857
112,889
113,915
114,951
115,978
116,989
117,1015
118,1017
119,1057
120,1083
121,1090
122,1114
123,1117
124,1145
125,1177
126,1191
127,1237
128,1273
129,1277
130,1295
131,1324
132,1307
133,1148
134,1054
135,1069
136,1046
137,981
138,955
139,938
140,926
141,936
142,976
143,1005
144,982
145,988
146,987
147,985
148,941
149,950
150,986
151,941
152,914
153,925
154,919
155,898
156,894
157,903
158,877
159,884
160,883
161,864
162,928
163,962
164,971
165,896
166,882
167,837
168,821
169,802
170,806
171,808
172,770
173,748
174,696
175,673
176,629
177,651
178,663
179,626
180,623
181,648
182,705
183,833
184,1103
185,1293
186,1521
187,1746
188,1976
189,2241
190,2524
191,2890
192,3137
193,3349
194,3585
195,3932
196,4210
197,4314
198,4473
199,4650
200,4660
201,4767
202,4786
203,4728
204,4668
205,4697
206,4663
207,4455
208,4221
209,4037
210,3953
211,3671
212,3592
213,3433
214,3146
215,2827
216,2742
217,2635
218,2545
219,2434
220,2412
221,2277
222,2178
223,2116
224,2082
225,1951
226,1962
227,1963
228,1822
229,1808
230,1808
231,1803
232,1820
233,1825
234,1856
235,1734
236,1594
237,1532
238,1479
239,1494
240,1481
241,1541
242,1508
243,1410
244,1467
245,1414
246,1407
247,1443
248,1463
249,1420
250,1390
251,1443
252,1526
253,1484
254,1510
255,1593
256,1602
257,1612
258,1641
259,1695
260,1736
261,1812
262,1869
263,1825
264,1835
265,1840
266,1898
267,1897
268,1981
269,2044
270,2008
271,2046
272,2051
273,2108
274,2210
275,2362
276,2516
277,2644
278,2842
279,3058
280,3253
281,3535
282,3762
283,3956
284,4121
285,4397
286,4853
287,5268
288,5504
289,5759
290,6050
291,6241
292,6572
293,6822
294,7185
